date,clicks,impressions,ctr,position
2026-05-06,1,488,0.0020491803278688526,9.432377049180328
2026-05-07,1,464,0.0021551724137931034,6.920258620689655
2026-05-08,0,449,0,7.097995545657016
2026-05-09,0,431,0,6.582366589327147
2026-05-10,1,365,0.0027397260273972603,7.852054794520548
2026-05-11,1,376,0.0026595744680851063,12.678191489361701
2026-05-12,2,295,0.006779661016949152,12.389830508474576
2026-05-13,1,303,0.0033003300330033004,10.405940594059405
2026-05-14,3,292,0.010273972602739725,17.106164383561644
2026-05-15,1,240,0.004166666666666667,23.904166666666665
2026-05-16,1,111,0.009009009009009009,30.9009009009009
2026-05-17,2,121,0.01652892561983471,29.43801652892562
2026-05-18,1,128,0.0078125,34.09375
2026-05-19,1,116,0.008620689655172414,34.87931034482759
2026-05-20,1,143,0.006993006993006993,28.363636363636363
2026-05-21,2,119,0.01680672268907563,32.344537815126046
2026-05-22,0,97,0,31.567010309278352
2026-05-23,0,97,0,30.298969072164947
2026-05-24,6,103,0.05825242718446602,27.54368932038835
2026-05-25,0,108,0,34.092592592592595
2026-05-26,2,114,0.017543859649122806,30.17543859649123
2026-05-27,2,145,0.013793103448275862,28.29655172413793
2026-05-28,1,131,0.007633587786259542,30.419847328244273
2026-05-29,5,123,0.04065040650406504,28.495934959349594
2026-05-30,1,132,0.007575757575757576,29.181818181818183
2026-05-31,2,102,0.0196078431372549,29.235294117647058
2026-06-01,3,129,0.023255813953488372,29.25581395348837
